timestamp,monitor,ch_1,ch_2
579422.902208387,Display 1,-1576.0,482.0
579422.910128185,Display 1,-1571.0,485.0
579422.9183595827,Display 1,-1565.0,489.0
579422.9262162804,Display 1,-1559.0,495.0
579422.9340679784,Display 1,-1553.0,501.0
579422.9422524762,Display 1,-1545.0,509.0
579422.950716074,Display 1,-1532.0,517.0
579422.958065772,Display 1,-1513.0,529.0
579422.9660334698,Display 1,-1494.0,540.0
579422.9741099676,Display 1,-1471.0,553.0
579422.9820844654,Display 1,-1443.0,564.0
579422.9900944632,Display 1,-1410.0,573.0
579422.9981089612,Display 1,-1375.0,582.0
579423.0060709589,Display 1,-1339.0,585.0
579423.0141422568,Display 1,-1297.0,591.0
579423.0221050547,Display 1,-1261.0,594.0
579423.0301269526,Display 1,-1227.0,597.0
579423.0381376504,Display 1,-1200.0,597.0
579423.0460812482,Display 1,-1178.0,597.0
579423.0543271459,Display 1,-1154.0,594.0
579423.0621826438,Display 1,-1129.0,584.0
579423.0702536417,Display 1,-1100.0,569.0
579423.0781400395,Display 1,-1068.0,551.0
579423.0861019375,Display 1,-1031.0,529.0
579423.0941902352,Display 1,-996.0,507.0
579423.1020871331,Display 1,-958.0,482.0
579423.1101535308,Display 1,-919.0,465.0
579423.1180934288,Display 1,-883.0,451.0
579423.1261362266,Display 1,-847.0,440.0
579423.1340863245,Display 1,-803.0,435.0
579423.1421058223,Display 1,-762.0,433.0
579423.1501584201,Display 1,-720.0,436.0
579423.158212318,Display 1,-678.0,443.0
579423.1661173158,Display 1,-635.0,454.0
579423.1741066136,Display 1,-591.0,468.0
579423.1820490115,Display 1,-551.0,477.0
579423.1901328093,Display 1,-509.0,484.0
579423.1981976072,Display 1,-467.0,489.0
579423.206148605,Display 1,-410.0,491.0
579423.2140353029,Display 1,-355.0,491.0
579423.2220923007,Display 1,-301.0,491.0
579423.2300724986,Display 1,-247.0,491.0
579423.2380936963,Display 1,-206.0,493.0
579423.2460860942,Display 1,-161.0,499.0
579423.254107792,Display 1,-138.0,503.0
579423.2620635899,Display 1,-121.0,508.0
579423.2701106877,Display 1,-114.0,510.0
579423.2780294856,Display 1,-107.0,512.0
579423.2860901834,Display 1,-105.0,512.0
579423.2945617811,Display 1,-104.0,512.0
579423.3020930791,Display 1,-103.0,512.0
579423.310049377,Display 1,-103.0,512.0
579423.3180777748,Display 1,-101.0,512.0
579423.3260891726,Display 1,-100.0,512.0
579423.3340589704,Display 1,-99.0,512.0
579423.3420687682,Display 1,-96.0,511.0
579423.3500245662,Display 1,-95.0,511.0
579423.5104289228,Display 1,-94.0,511.0
579423.5181561208,Display 1,-91.0,511.0
579423.5262346185,Display 1,-80.0,515.0
579423.5340837165,Display 1,-69.0,522.0
579423.5420968144,Display 1,-59.0,526.0
579423.5514690118,Display 1,-49.0,531.0
579423.55810911,Display 1,-38.0,535.0
579423.5660909079,Display 1,-27.0,537.0
579423.5741905057,Display 1,-12.0,542.0
579423.5821620035,Primary,11.0,545.0
579423.5907843012,Primary,51.0,551.0
579423.5983376991,Primary,97.0,558.0
579423.6061296971,Primary,149.0,564.0
579423.6143728947,Primary,215.0,574.0
579423.6222041927,Primary,281.0,582.0
579423.6301360904,Primary,340.0,586.0
579423.6382583884,Primary,385.0,593.0
579423.6462122862,Primary,422.0,599.0
579423.6541291841,Primary,441.0,602.0
579423.6623305819,Primary,457.0,603.0
579423.6702590797,Primary,468.0,606.0
579423.6781053776,Primary,476.0,607.0
579423.6862674754,Primary,482.0,609.0
579423.6943199732,Primary,485.0,610.0
579423.7021282712,Primary,487.0,611.0
579423.7105034689,Primary,490.0,612.0
579423.7180880669,Primary,494.0,614.0
579423.7260638647,Primary,496.0,616.0
579423.7341094625,Primary,498.0,618.0
579423.7421977604,Primary,499.0,620.0
579423.750464658,Primary,500.0,624.0
579423.758079756,Primary,501.0,628.0
579423.7660719538,Primary,501.0,631.0
579423.7741311517,Primary,502.0,633.0
579423.7821836495,Primary,502.0,635.0
579423.7901792473,Primary,503.0,636.0
579423.7981686452,Primary,504.0,638.0
579423.806182843,Primary,506.0,640.0
579423.8141060409,Primary,506.0,641.0
579423.8229561384,Primary,507.0,641.0
579424.0863054674,Primary,507.0,641.0
579424.6464751163,Primary,509.0,643.0
579424.6543387141,Primary,511.0,644.0
579424.662285212,Primary,512.0,645.0
579424.6702501099,Primary,515.0,648.0
579424.6780732077,Primary,519.0,651.0
579424.6861486055,Primary,525.0,654.0
579424.6941820034,Primary,528.0,656.0
579424.7021375012,Primary,531.0,659.0
579424.7100849991,Primary,533.0,660.0
579424.7180999969,Primary,533.0,661.0
579424.7264154947,Primary,534.0,661.0
579424.7341179926,Primary,535.0,662.0
579424.7985975752,Primary,536.0,662.0
579424.8060620731,Primary,538.0,661.0
579424.8141860709,Primary,541.0,658.0
579424.8223137687,Primary,543.0,656.0
579424.8301665667,Primary,547.0,654.0
579424.8380785645,Primary,550.0,653.0
579424.8541325602,Primary,550.0,653.0
579425.3985337133,Primary,550.0,653.0
579425.5200064805,Primary,550.0,653.0
579425.5742426658,Primary,551.0,652.0
579425.5819852637,Primary,555.0,649.0
579425.5904467615,Primary,562.0,646.0
579425.5980719595,Primary,567.0,644.0
579425.6060702573,Primary,575.0,641.0
579425.6140867551,Primary,582.0,639.0
579425.6221546528,Primary,591.0,635.0
579425.6300707508,Primary,601.0,631.0
579425.6381147486,Primary,612.0,627.0
579425.6463392464,Primary,626.0,622.0
579425.6541641443,Primary,638.0,616.0
579425.662289342,Primary,644.0,613.0
579425.67019894,Primary,653.0,609.0
579425.6781159377,Primary,660.0,607.0
579425.6861901357,Primary,667.0,604.0
579425.6942271334,Primary,672.0,603.0
579425.7021314313,Primary,678.0,602.0
579425.710579329,Primary,683.0,601.0
579425.718062127,Primary,689.0,600.0
579425.7260921248,Primary,691.0,600.0
579425.7340318228,Primary,693.0,599.0
579425.7422122206,Primary,694.0,599.0
579425.8304808966,Primary,694.0,598.0
579426.9501989945,Primary,694.0,598.0
579426.9581433923,Primary,694.0,598.0
579426.9904125836,Primary,693.0,598.0
579427.0062069793,Primary,693.0,597.0
579427.022207075,Primary,692.0,597.0
579427.0543724664,Primary,691.0,597.0
579427.0783326599,Primary,691.0,597.0
579427.1022043534,Primary,690.0,596.0
579427.1422113427,Primary,689.0,596.0
579427.1982226275,Primary,688.0,595.0
579427.2462154146,Primary,687.0,595.0
579427.2702054081,Primary,686.0,595.0
579427.2944787015,Primary,685.0,594.0
579427.4467167604,Primary,684.0,594.0
579427.8702791461,Primary,683.0,594.0
579427.9746653179,Primary,684.0,592.0
579427.9826739158,Primary,687.0,591.0
579427.9901004138,Primary,690.0,589.0
579427.9980526117,Primary,693.0,587.0
579428.0062763095,Primary,697.0,585.0
579428.0142851073,Primary,698.0,584.0
579428.023020705,Primary,700.0,582.0
579428.030114003,Primary,701.0,582.0
579428.2305067489,Primary,701.0,582.0
579428.3112137271,Primary,701.0,582.0
579428.3983111037,Primary,702.0,582.0
579428.4061501016,Primary,708.0,578.0
579428.4142836994,Primary,717.0,571.0
579428.4220820973,Primary,729.0,566.0
579428.4303090951,Primary,741.0,560.0
579428.4381447928,Primary,759.0,553.0
579428.4460947907,Primary,774.0,549.0
579428.4541081885,Primary,792.0,543.0
579428.4620201864,Primary,809.0,537.0
579428.4701936842,Primary,830.0,531.0
579428.478214782,Primary,844.0,527.0
579428.4861210799,Primary,858.0,521.0
579428.4941146778,Primary,867.0,517.0
579428.5021517756,Primary,875.0,513.0
579428.5100801735,Primary,881.0,511.0
579428.5180685712,Primary,885.0,509.0
579428.5260432692,Primary,888.0,507.0
579428.5340764669,Primary,895.0,505.0
579428.5420778648,Primary,905.0,501.0
579428.5502455626,Primary,919.0,500.0
579428.5581230605,Primary,935.0,497.0
579428.5661562583,Primary,954.0,496.0
579428.5740729561,Primary,977.0,494.0
579428.5827759538,Primary,998.0,492.0
579428.5901700518,Primary,1015.0,491.0
579428.5980501497,Primary,1032.0,490.0
579428.6060764475,Primary,1048.0,487.0
579428.6146211452,Primary,1057.0,486.0
579428.6221064433,Primary,1064.0,486.0
579428.630189641,Primary,1065.0,486.0
579428.6381390389,Primary,1066.0,486.0
579428.6623285324,Primary,1067.0,486.0
579428.8065946935,Primary,1067.0,486.0
579428.8866586718,Primary,1067.0,486.0
579428.9662886503,Primary,1067.0,486.0
579428.9741247483,Primary,1060.0,486.0
579428.9822450461,Primary,1047.0,487.0
579428.9903424438,Primary,1038.0,494.0
579428.9991319415,Primary,1025.0,499.0
579429.0063982395,Primary,1005.0,509.0
579429.0142426374,Primary,983.0,517.0
579429.0231292349,Primary,961.0,527.0
579429.030056533,Primary,937.0,536.0
579429.0381708309,Primary,918.0,544.0
579429.0461194288,Primary,900.0,550.0
579429.0543544266,Primary,890.0,554.0
579429.0625459243,Primary,881.0,559.0
579429.0704432222,Primary,873.0,564.0
579429.07853822,Primary,866.0,569.0
579429.0866603178,Primary,857.0,575.0
579429.0942812158,Primary,844.0,581.0
579429.1021139136,Primary,832.0,589.0
579429.1103679114,Primary,816.0,599.0
579429.1181157094,Primary,803.0,608.0
579429.1262874071,Primary,789.0,616.0
579429.134057705,Primary,777.0,626.0
579429.1423558028,Primary,766.0,633.0
579429.1500908007,Primary,755.0,639.0
579429.1583582985,Primary,748.0,644.0
579429.1660953964,Primary,742.0,648.0
579429.174350394,Primary,736.0,650.0
579429.1820255921,Primary,733.0,651.0
579429.1902032899,Primary,729.0,651.0
579429.1981158877,Primary,725.0,652.0
579429.2060706856,Primary,720.0,652.0
579429.2140911834,Primary,711.0,652.0
579429.2222633811,Primary,701.0,652.0
579429.230183579,Primary,690.0,652.0
579429.238075677,Primary,683.0,652.0
579429.2460637748,Primary,676.0,652.0
579429.2540574727,Primary,672.0,652.0
579429.2620380705,Primary,670.0,652.0
579429.2700619684,Primary,669.0,652.0
579429.2780411661,Primary,668.0,652.0
579429.2941579618,Primary,668.0,651.0
579429.430689725,Primary,668.0,651.0
579429.5024564057,Primary,668.0,651.0
579429.9022248978,Primary,669.0,651.0
579429.9103147954,Primary,671.0,651.0
579429.9181457934,Primary,672.0,652.0
579429.9262886912,Primary,673.0,652.0
579429.9340665891,Primary,674.0,652.0
579429.9663088804,Primary,675.0,652.0
579429.9743686783,Primary,675.0,648.0
579429.9820514761,Primary,675.0,642.0
579429.9900620739,Primary,675.0,634.0
579429.9985597717,Primary,675.0,627.0
579430.0064933696,Primary,675.0,619.0
579430.0141924674,Primary,675.0,607.0
579430.0224123652,Primary,675.0,594.0
579430.030692463,Primary,675.0,579.0
579430.0380617611,Primary,675.0,561.0
579430.0471606586,Primary,675.0,533.0
579430.0541330568,Primary,675.0,495.0
579430.0621014545,Primary,675.0,458.0
579430.0700527524,Primary,675.0,424.0
579430.0780860502,Primary,675.0,393.0
579430.086247848,Primary,675.0,359.0
579430.0940791459,Primary,675.0,322.0
579430.1020759438,Primary,674.0,297.0
579430.1101853416,Primary,673.0,279.0
579430.1182130394,Primary,673.0,265.0
579430.1266889372,Primary,673.0,254.0
579430.1341192351,Primary,673.0,245.0
579430.142051433,Primary,673.0,238.0
579430.1503310307,Primary,673.0,235.0
579430.1593348284,Primary,673.0,232.0
579430.1662313264,Primary,673.0,231.0
579430.2303718091,Primary,673.0,231.0
579430.3265240832,Primary,673.0,231.0
579430.4302133552,Primary,673.0,231.0
579430.438117353,Primary,672.0,230.0
579430.4461125509,Primary,667.0,230.0
579430.4541182487,Primary,658.0,233.0
579430.4622128466,Primary,646.0,239.0
579430.4701125444,Primary,634.0,248.0
579430.4784067422,Primary,619.0,259.0
579430.4863374401,Primary,611.0,267.0
579430.4941902378,Primary,602.0,276.0
579430.5020466357,Primary,594.0,286.0
579430.5109862335,Primary,586.0,294.0
579430.5182887315,Primary,578.0,303.0
579430.5260747294,Primary,569.0,311.0
579430.5341126272,Primary,560.0,317.0
579430.5426257248,Primary,551.0,324.0
579430.5501945228,Primary,542.0,330.0
579430.5582117207,Primary,535.0,337.0
579430.5660843186,Primary,531.0,340.0
579430.5741289164,Primary,527.0,344.0
579430.5821918141,Primary,525.0,346.0
579430.590027112,Primary,523.0,349.0
579430.5982697099,Primary,522.0,350.0
579430.6061936077,Primary,521.0,350.0
579431.038721491,Primary,521.0,350.0
579431.1027958737,Primary,521.0,350.0
579431.6063426378,Primary,521.0,350.0
579431.7184230075,Primary,521.0,350.0
579431.8783989643,Primary,521.0,352.0
579431.8861380622,Primary,529.0,355.0
579431.8941043601,Primary,541.0,357.0
579431.9022306579,Primary,565.0,360.0
579431.9109830556,Primary,604.0,366.0
579431.9182497535,Primary,649.0,370.0
579431.9264983514,Primary,693.0,370.0
579431.9341206492,Primary,748.0,370.0
579431.9422345471,Primary,802.0,370.0
579431.950117445,Primary,853.0,370.0
579431.9585290427,Primary,904.0,370.0
579431.9661060406,Primary,954.0,370.0
579431.9740611385,Primary,1005.0,370.0
579431.9820344363,Primary,1046.0,370.0
579431.9900347341,Primary,1080.0,370.0
579431.998088732,Primary,1107.0,370.0
579432.0061324298,Primary,1131.0,370.0
579432.0141005277,Primary,1152.0,370.0
579432.0221564255,Primary,1167.0,370.0
579432.0303442233,Primary,1182.0,370.0
579432.0381283212,Primary,1199.0,372.0
579432.046101719,Primary,1212.0,372.0
579432.0541335169,Primary,1227.0,372.0
579432.0620549147,Primary,1240.0,372.0
579432.0700560126,Primary,1250.0,372.0
579432.0780894104,Primary,1258.0,372.0
579432.0868745081,Primary,1267.0,372.0
579432.0941511061,Primary,1272.0,372.0
579432.102158004,Primary,1277.0,372.0
579432.1100447017,Primary,1280.0,372.0
579432.1180780997,Primary,1283.0,372.0
579432.1260577975,Primary,1283.0,372.0
579432.1902243801,Primary,1284.0,372.0
579432.2623619607,Primary,1284.0,372.0
579432.3585258347,Primary,1284.0,372.0
579432.3986025238,Primary,1285.0,372.0
579432.4385479132,Primary,1285.0,373.0
579432.4460985111,Primary,1285.0,376.0
579432.4545398089,Primary,1285.0,385.0
579432.4620375067,Primary,1285.0,398.0
579432.4702668046,Primary,1285.0,414.0
579432.4783747024,Primary,1285.0,435.0
579432.4861358003,Primary,1285.0,469.0
579432.4941348982,Primary,1291.0,495.0
579432.502099796,Primary,1294.0,521.0
579432.5100666939,Primary,1299.0,544.0
579432.5180634917,Primary,1304.0,564.0
579432.5262651894,Primary,1309.0,579.0
579432.5342890873,Primary,1313.0,591.0
579432.5420681853,Primary,1317.0,602.0
579432.550081983,Primary,1320.0,611.0
579432.5580623809,Primary,1322.0,615.0
579432.5661748787,Primary,1324.0,619.0
579432.5740763765,Primary,1326.0,623.0
579432.5822060744,Primary,1326.0,625.0
579432.5900834722,Primary,1327.0,627.0
579432.5981213701,Primary,1328.0,629.0
579432.6061725679,Primary,1328.0,632.0
579432.6144896657,Primary,1328.0,632.0
579432.6222389636,Primary,1328.0,633.0
579432.6300573614,Primary,1328.0,634.0
579432.743068731,Primary,1328.0,634.0
579432.8305362074,Primary,1328.0,634.0
579432.9582381729,Primary,1329.0,633.0
579432.9660752708,Primary,1333.0,629.0
579432.9741842686,Primary,1340.0,623.0
579432.9820884664,Primary,1347.0,617.0
579432.9901851643,Primary,1355.0,612.0
579432.9980752621,Primary,1366.0,605.0
579433.0062792599,Primary,1375.0,598.0
579433.0143889578,Primary,1384.0,593.0
579433.0221774556,Primary,1393.0,588.0
579433.0304376533,Primary,1400.0,584.0
579433.0382296513,Primary,1406.0,581.0
579433.0461603492,Primary,1413.0,577.0
579433.054220847,Primary,1419.0,573.0
579433.0622018449,Primary,1427.0,568.0
579433.0705441425,Primary,1433.0,565.0
579433.0783210404,Primary,1437.0,562.0
579433.0860797383,Primary,1441.0,558.0
579433.0941771362,Primary,1447.0,555.0
579433.102273334,Primary,1453.0,553.0
579433.1103966318,Primary,1459.0,549.0
579433.1181946297,Primary,1463.0,547.0
579433.1262702275,Primary,1466.0,546.0
579433.1421220232,Primary,1466.0,545.0
579434.0384895813,Primary,1465.0,545.0
579434.0464936792,Primary,1447.0,546.0
579434.054387277,Primary,1411.0,550.0
579434.0623767748,Primary,1376.0,554.0
579434.0703854726,Primary,1340.0,560.0
579434.0784070706,Primary,1308.0,563.0
579434.0864428683,Primary,1272.0,569.0
579434.0944568662,Primary,1229.0,576.0
579434.102523064,Primary,1180.0,580.0
579434.1105709618,Primary,1127.0,590.0
579434.1184419597,Primary,1068.0,597.0
579434.1264462576,Primary,1016.0,601.0
579434.1344037554,Primary,971.0,605.0
579434.1424384533,Primary,936.0,607.0
579434.1503637511,Primary,909.0,607.0
579434.158504349,Primary,888.0,607.0
579434.1665464467,Primary,864.0,607.0
579434.1743962446,Primary,849.0,606.0
579434.1824521424,Primary,830.0,603.0
579434.1905185403,Primary,798.0,599.0
579434.1984456381,Primary,769.0,595.0
579434.206506736,Primary,733.0,589.0
579434.2141952339,Primary,697.0,581.0
579434.2221755317,Primary,657.0,575.0
579434.2301113296,Primary,611.0,568.0
579434.2382156274,Primary,558.0,557.0
579434.2463377252,Primary,504.0,545.0
579434.2541972231,Primary,447.0,528.0
579434.262163321,Primary,380.0,513.0
579434.2702086187,Primary,313.0,496.0
579434.2781364167,Primary,242.0,476.0
579434.2863204145,Primary,171.0,461.0
579434.2942136122,Primary,98.0,446.0
579434.3022722101,Primary,37.0,428.0
579434.310108608,Display 1,-17.0,412.0
579434.3181825059,Display 1,-61.0,397.0
579434.3261647036,Display 1,-105.0,379.0
579434.3342201016,Display 1,-144.0,363.0
579434.343591599,Display 1,-188.0,349.0
579434.3501455972,Display 1,-233.0,338.0
579434.358101795,Display 1,-276.0,329.0
579434.366078393,Display 1,-318.0,323.0
579434.3741572907,Display 1,-360.0,318.0
579434.3821042887,Display 1,-403.0,318.0
579434.3901567864,Display 1,-436.0,318.0
579434.3980742843,Display 1,-469.0,318.0
579434.4061755821,Display 1,-501.0,318.0
579434.4141320799,Display 1,-534.0,318.0
579434.4221825778,Display 1,-570.0,320.0
579434.4303933756,Display 1,-596.0,323.0
579434.4382781733,Display 1,-623.0,331.0
579434.4462673713,Display 1,-653.0,340.0
579434.454164869,Display 1,-683.0,350.0
579434.4620797669,Display 1,-710.0,356.0
579434.4700893649,Display 1,-735.0,364.0
579434.4780161626,Display 1,-759.0,371.0
579434.4861449604,Display 1,-784.0,377.0
579434.4940248583,Display 1,-811.0,386.0
579434.5021778562,Display 1,-838.0,394.0
579434.5100515541,Display 1,-862.0,398.0
579434.5182405518,Display 1,-888.0,401.0
579434.5260527497,Display 1,-916.0,404.0
579434.5341450475,Display 1,-939.0,406.0
579434.5420165454,Display 1,-959.0,408.0
579434.5500450432,Display 1,-980.0,411.0
579434.5580492411,Display 1,-997.0,412.0
579434.5660957389,Display 1,-1012.0,415.0
579434.5740363369,Display 1,-1026.0,417.0
579434.5824562345,Display 1,-1040.0,418.0
579434.5901648324,Display 1,-1057.0,422.0
579434.5980638303,Display 1,-1073.0,424.0
579434.606298028,Display 1,-1085.0,426.0
579434.6144355258,Display 1,-1096.0,430.0
579434.6222508238,Display 1,-1105.0,433.0
579434.6307348214,Display 1,-1115.0,435.0
579434.6381560195,Display 1,-1123.0,438.0
579434.6460628174,Display 1,-1132.0,440.0
579434.6541772152,Display 1,-1141.0,443.0
579434.6620867129,Display 1,-1151.0,445.0
579434.6701507109,Display 1,-1162.0,449.0
579434.6781172086,Display 1,-1173.0,452.0
579434.6861203065,Display 1,-1181.0,453.0
579434.6940875043,Display 1,-1192.0,456.0
579434.7020900022,Display 1,-1209.0,459.0
579434.7101815001,Display 1,-1221.0,460.0
579434.7181686978,Display 1,-1234.0,462.0
579434.7260613957,Display 1,-1248.0,464.0
579434.7340923935,Display 1,-1260.0,465.0
579434.7420448915,Display 1,-1272.0,466.0
579434.7501398892,Display 1,-1281.0,466.0
579434.7580412871,Display 1,-1289.0,466.0
579434.7660928849,Display 1,-1296.0,466.0
579434.7741350828,Display 1,-1301.0,466.0
579434.7820643806,Display 1,-1304.0,466.0
579434.7900301785,Display 1,-1306.0,466.0
579434.8221926697,Display 1,-1307.0,466.0
579434.8302447677,Display 1,-1308.0,466.0
579434.8381286655,Display 1,-1309.0,465.0
579434.8460539633,Display 1,-1310.0,464.0
579434.8542167612,Display 1,-1313.0,460.0
579434.862061559,Display 1,-1316.0,457.0
579434.8701132569,Display 1,-1321.0,453.0
579434.8781291548,Display 1,-1325.0,450.0
579434.8861552526,Display 1,-1331.0,446.0
579434.8940728505,Display 1,-1335.0,444.0
579434.9021098482,Display 1,-1342.0,443.0
579434.9100152461,Display 1,-1351.0,442.0
579434.9180844439,Display 1,-1362.0,442.0
579434.9260232418,Display 1,-1373.0,442.0
579434.9341231396,Display 1,-1383.0,442.0
579434.9420734374,Display 1,-1391.0,442.0
579434.9501345353,Display 1,-1399.0,442.0
579434.958107033,Display 1,-1404.0,442.0
579434.966124331,Display 1,-1407.0,442.0
579434.9746687287,Display 1,-1408.0,442.0
579434.9821342266,Display 1,-1410.0,442.0
579434.9900680245,Display 1,-1411.0,442.0
579434.9981265223,Display 1,-1413.0,442.0
579435.0060398201,Display 1,-1414.0,442.0
579435.014114218,Display 1,-1416.0,442.0
579435.0221211158,Display 1,-1419.0,442.0
579435.0300897136,Display 1,-1424.0,442.0
579435.0381104115,Display 1,-1429.0,442.0
579435.0461122093,Display 1,-1435.0,442.0
579435.0543968071,Display 1,-1440.0,442.0
579435.062077405,Display 1,-1444.0,442.0
579435.0701312028,Display 1,-1449.0,442.0
579435.0781274007,Display 1,-1452.0,442.0
579435.0861598986,Display 1,-1453.0,441.0
579435.0941857964,Display 1,-1454.0,441.0
579435.1101390921,Display 1,-1454.0,440.0
579435.1503370812,Display 1,-1455.0,440.0
579435.1580613792,Display 1,-1456.0,439.0
579435.1666122768,Display 1,-1456.0,438.0
579435.1740322749,Display 1,-1458.0,436.0
579435.1823881726,Display 1,-1458.0,435.0
579435.1900284705,Display 1,-1461.0,431.0
579435.1980875684,Display 1,-1462.0,429.0
579435.2060695662,Display 1,-1463.0,427.0
579435.214490464,Display 1,-1465.0,425.0
579435.2220697618,Display 1,-1467.0,423.0
579435.2304366597,Display 1,-1468.0,422.0
579435.2380476575,Display 1,-1469.0,420.0
579435.2460703553,Display 1,-1470.0,420.0
